基金代码,基金简称,风格属性
001223.OF,鹏华文化传媒娱乐,平衡
008308.OF,华夏见龙精选,
004112.OF,创金合信国企活力,价值
008107.OF,华商医药医疗行业,
006763.OF,汇添富养老2030三年,
005669.OF,前海开源公用事业,
006042.OF,上投摩根尚睿,
008294.OF,朱雀企业优胜A,
001495.OF,东方新价值A,价值
008712.OF,景顺长城品质成长,
008909.OF,创金合信鑫益A,
008949.OF,平安匠心优选A,
002179.OF,华安事件驱动量化策略,平衡
005569.OF,中融智选红利A,价值
005844.OF,东方人工智能主题,成长
006296.OF,鹏华养老2035三年,
001475.OF,易方达国防军工,成长
008178.OF,同泰慧盈A,
002952.OF,建信多因子量化,平衡
008811.OF,鹏华科技创新,
005502.OF,华泰紫金智能量化,价值
006199.OF,长盛同锦研究精选,平衡
007904.OF,广发锐意进取3个月A,
006195.OF,国金量化多因子,平衡
006292.OF,易方达汇诚养老三年(FOF),
007271.OF,鹏华养老2045三年,
005486.OF,平安量化精选A,价值
008988.OF,大成科技创新A,
008145.OF,兴全优选进取三个月,
006306.OF,泰达宏利泰和养老(FOF),
007238.OF,平安养老2035A,
005037.OF,银华新能源新材料量化A,平衡
007893.OF,平安估值精选A,
007297.OF,大成养老2040三年A,
007287.OF,合煦智远消费主题A,
006926.OF,长城量化精选,
007132.OF,长城港股通价值精选多策略,
008169.OF,汇添富积极投资核心优势三个月持有期,
008954.OF,安信价值回报三年A,
008311.OF,圆信永丰优选价值A,
001628.OF,招商体育文化休闲,成长
008079.OF,诺德大类精选,
008037.OF,兴银先锋成长A,
008135.OF,华宸未来价值先锋,
006270.OF,汇安核心成长A,价值
410009.OF,华富量子生命力,平衡
008638.OF,广发科技创新,
003492.OF,前海开源外向企业,平衡
008230.OF,九泰天辰量化,
005925.OF,建信福泽裕泰A,
009055.OF,圆信永丰大湾区主题A,
671010.OF,西部利得策略优选,价值
008671.OF,银华科技创新,
005701.OF,上投摩根香港精选港股通,
006887.OF,诺德新生活A,成长
006803.OF,嘉实互通精选,
008093.OF,同泰慧选A,
007274.OF,景顺长城养老2045五年,
008531.OF,惠升惠民A,
161038.OF,富国新兴成长量化精选,平衡
006603.OF,嘉实互融精选,
007674.OF,工银产业升级A,
004936.OF,中航混改精选A,价值
008533.OF,惠升惠兴A,
005095.OF,国泰量化成长优选A,平衡
009210.OF,中欧嘉和三年持有期A,
001195.OF,工银瑞信农业产业,平衡
007232.OF,万家平衡养老三年(FOF),
008283.OF,易方达金融行业,
008734.OF,交银科锐科技创新,
005628.OF,汇安趋势动力A,平衡
009189.OF,华宝成长策略,
008840.OF,德邦大消费A,
501092.OF,交银施罗德瑞思三年,
008277.OF,财通资管行业精选,
007221.OF,上投摩根锦程均衡养老(FOF),
007231.OF,国泰民安养老2040三年,
003232.OF,创金合信金融地产A,价值
006894.OF,兴业养老2035A,
007770.OF,同泰开泰A,
004189.OF,华商消费行业,成长
007661.OF,南方养老2030三年,
006952.OF,中银景元回报,
001188.OF,鹏华改革红利,平衡
006872.OF,长信颐天平衡养老(FOF)A,
008754.OF,泰康睿福优选配置3个月持有期(FOF)A,
400032.OF,东方主题精选,平衡
005035.OF,银华信息科技量化A,成长
008704.OF,广发高股息优享A,
001158.OF,工银瑞信新材料新能源行业,平衡
006103.OF,凯石淳行业精选A,价值
007896.OF,易方达优选多资产三个月A,
006575.OF,华安养老2030三年,
001404.OF,招商移动互联网,成长
008997.OF,同泰竞争优势A,
007649.OF,博时颐泽平衡养老三年,
580003.OF,东吴行业轮动,成长
007660.OF,招商和悦均衡养老三年(FOF),
001416.OF,嘉实事件驱动,成长
008618.OF,永赢医药健康A,
009263.OF,华宝红利精选A,
001396.OF,建信互联网+产业升级,成长
004720.OF,华夏睿磐泰茂A,价值
009043.OF,九泰久信量化,
008962.OF,建信科技创新A,
009141.OF,泰达价值长青A,
009364.OF,工银科技创新6个月A,
007748.OF,天弘养老2035三年,
009128.OF,明亚价值长青A,
006537.OF,恒生前海港股通精选,
008185.OF,诺安研究优选,
008655.OF,招商科技创新A,
009686.OF,华夏磐利一年定开A,
007662.OF,富国鑫旺均衡养老(FOF),
166024.OF,中欧恒利三年定开,
008518.OF,弘毅远方经济新动力,
006534.OF,农银汇理永盛定期开放,
001267.OF,泰达宏利蓝筹价值,平衡
006781.OF,汇丰晋信港股通精选,
008445.OF,融通产业趋势先锋,
009768.OF,创金合信汇悦一年定开A,
008424.OF,中融品牌优选A,
005632.OF,鹏华量化先锋,价值
009486.OF,光大保德信瑞和A,
009697.OF,华夏成长精选6个月定开A,
009092.OF,富国新材料新能源,
004891.OF,华润元大成长精选A,
009880.OF,安信成长动力一年持有,
001230.OF,鹏华医药科技,成长
009312.OF,前海联合价值优选A,
008116.OF,银华沪深股通,
009242.OF,中加核心智造A,
007110.OF,国投瑞银港股通价值发现,
009695.OF,招商成长精选一年定开A,
009853.OF,中加优势企业A,
009184.OF,东方红颐和积极养老目标五年,
006477.OF,中邮沪港深精选,
005883.OF,华宝港股通香港,
009113.OF,浙商汇金卓越优选3个月,
008625.OF,国富平衡养老三年,
009488.OF,中邮价值精选A,
009085.OF,银华丰享一年,
001877.OF,宝盈国家安全战略沪港深,
007638.OF,前海开源康颐平衡养老三年,
009102.OF,鹏扬红利优选A,
010059.OF,东方红鼎元3个月定开,
009970.OF,财通内需增长12个月定开,
009490.OF,泰康科技创新一年定开,
009644.OF,东方阿尔法优势产业A,
005082.OF,诺德量化蓝筹增强A,价值
009381.OF,汇安核心资产A,
006749.OF,东兴核心成长A,价值
009513.OF,创金合信同顺创业板A,
160926.OF,大成创业板两年定开A,
009649.OF,嘉实精选平衡A,
008878.OF,国联安新蓝筹红利一年定开,
110025.OF,易方达资源行业,平衡
506005.OF,博时科创板三年定开,
010141.OF,朱雀企业优选A,
009794.OF,太平智选一年定开,
009003.OF,中银安康平衡养老三年,
009573.OF,南方养老2045三年,
009240.OF,泰康蓝筹优势,
009958.OF,长安鑫悦消费驱动A,
009750.OF,汇安价值蓝筹A,
009973.OF,创金合信核心资产A,
010080.OF,中欧优势成长,
009537.OF,太平行业优选A,
009353.OF,浙商科技创新一个月滚动持有A,
009971.OF,创金合信核心价值A,
009474.OF,国泰致远优势,
166027.OF,中欧创业板两年定开A,
009800.OF,长盛制造精选A,
008736.OF,南方高股息主题A,
005707.OF,富国港股通量化精选,
009007.OF,兴全沪港深两年持有,
008602.OF,方正富邦新兴成长A,
010298.OF,汇添富品牌驱动六个月持有,
009694.OF,华安安利,
008158.OF,招商盛鑫优选3个月持有期(FOF)A,
690003.OF,民生加银精选,价值
008537.OF,兴银研究精选A,
160529.OF,博时创业板两年定开,
000061.OF,华夏盛世精选,平衡
009640.OF,中银证券优选行业龙头A,
009151.OF,国寿安保策略优选3个月持有,
009704.OF,南方景气驱动A,
010363.OF,信达澳银匠心臻选两年持有,
009564.OF,汇安消费龙头A,
002871.OF,华夏智胜价值成长A,价值
010046.OF,博时金福安一年A,
009368.OF,浦银安盛价值精选A,
010151.OF,东财消费精选A,
009899.OF,上银内需增长,
009954.OF,北信瑞丰优选成长,
008631.OF,国泰民泽平衡养老目标三年,
009500.OF,国寿安保高股息A,
010020.OF,华夏线上经济主题精选,
009884.OF,民生加银康宁平衡养老(FOF),
009960.OF,银华多元机遇,
010296.OF,万家互联互通中国优势量化策略A,
007933.OF,嘉合永泰优选三个月A,
001614.OF,东方区域发展,价值
009106.OF,嘉合同顺智选A,
010033.OF,安信成长精选A,
009861.OF,鹏华新兴成长A,
009383.OF,人保稳进配置三个月持有,
010460.OF,兴业研究精选,
008930.OF,中加安瑞平衡养老目标三年,
009542.OF,银华富利精选,
010301.OF,达诚成长先锋A,
009681.OF,南方创新精选一年定期A,
009847.OF,圆信永丰研究精选A,
009370.OF,浦银安盛睿和优选3个月持有A,
010181.OF,兴业优势产业A,
009159.OF,前海联合智选3个月持有A,
010201.OF,农银汇理智增一年定开,
010313.OF,上银鑫恒,
009990.OF,华泰柏瑞品质优选A,
010508.OF,博时鑫康A,
010326.OF,博时消费创新A,
010330.OF,东吴兴享成长,
010104.OF,景顺长城消费精选A,
010389.OF,易方达科益A,
009852.OF,银华品质消费,
010180.OF,华夏科技龙头两年定开,
009994.OF,嘉实创新先锋A,
010072.OF,方正富邦策略精选A,
009432.OF,德邦科技创新一年定开A,
010090.OF,中信建投医药健康A,
009436.OF,长城恒泰养老2040三年,
009442.OF,中银养老目标日期2040,
010008.OF,中融成长优选A,
010427.OF,兴银策略智选A,
010481.OF,汇添富高质量成长精选2年持有,
009531.OF,九泰锐和18个月定开,
010654.OF,天弘医药创新A,
010303.OF,华泰柏瑞量化创盈A,
005433.OF,申万菱信医药先锋,
010371.OF,大成成长进取A,
010550.OF,华商双擎领航,
010282.OF,中信建投智享生活A,
009601.OF,招商科技动力3个月滚动持有A,
010094.OF,交银产业机遇,
010124.OF,兴银景气优选A,
009380.OF,富安达科技领航,
010434.OF,红土创新医疗保健,
970016.OF,中信建投价值增长A,
010293.OF,华商量化优质精选,
009983.OF,永赢港股通品质生活慧选,
009327.OF,东兴兴晟A,
001167.OF,金鹰科技创新,平衡
010049.OF,长城成长先锋A,
009918.OF,上银核心成长A,
009986.OF,天弘创新领航A,
008709.OF,银河龙头,
002174.OF,东方互联网嘉,价值
010237.OF,安信创新先锋A,
010010.OF,国投瑞银港股通6个月定开,
161838.OF,银华创业板两年定开,
009733.OF,创金合信港股通大消费精选A,
001277.OF,博时国企改革主题,价值
005347.OF,诺德量化优选,
001088.OF,华宝国策导向,价值
005104.OF,富荣福康A,价值
004930.OF,华润元大价值优选A,
004098.OF,前海开源股息率50强,
008884.OF,博远博锐A,
620004.OF,金元顺安价值增长,成长
001097.OF,华泰柏瑞积极优选,平衡
000893.OF,工银瑞信创新动力,价值
001409.OF,工银瑞信互联网加,成长
010755.OF,博道睿见一年持有,
